,Ey,Ez,Ex,U3,U4,U2,U5,U1
tl1,0.36450942199244923,-0.178837439038901,-0.0020419498578333377,-0.0668224403661015,-0.23257546218063774,0.48253540514787946,-0.06427730108148777,0.07228592463523928
tl2,-3.810148997019716,-8.134205828090916,0.19644133765662986,0.6979537772267698,7.557300539074196,8.072566579339782,-3.3386910594427364,1.3594677864413862
tl3,-4.205089180747653,0.06810902758969958,1.9234726671261495,-1.4308606316234915,2.252483063638662,-2.0081609596977734,0.14059201500505691,1.2022470990712193
tl4,-15.569616286321413,7.327966286337208,0.2921337904348073,2.0427838283070328,-37.121451418791445,7.265858110312042,0.5957367121735659,1.339352049971217
tl5,-0.8536033640760143,0.20310926033834303,0.01011921228409121,0.1446656102511416,-0.03019247473183522,-0.2812628091062823,0.07517233383770473,-0.03624703383520895
tr1,0.03451097143155246,-0.2223364796512048,0.0030719249040946682,-0.02260202271381001,-1.3682056627657035,0.4872872176065669,-0.15445980965371445,0.07744673381677289
tr2,-7.8836194932369095,-10.314888381497887,0.2846018883715862,1.1893071708050287,-26.834305952111162,5.632370592002455,-5.362705193206181,1.0486148279815182
tr3,5.563922129529366,0.328361311981804,2.0153211938680333,1.2137456701647549,1.0783200349960624,-2.096428825723802,0.20747604584112414,1.2322365621601061
tr4,15.010865758852779,10.10641560014894,0.010119935241815326,-2.200720725944356,22.17176160165192,7.311292165736572,4.910287128281447,1.144664557702925
tr5,-0.03141440709257217,0.23443474076630988,-0.0008195598969966408,0.012829236309485912,0.498683225637353,0.45383769887081016,0.07282829032623185,0.06878790920091878
bl1,-1.3626001742196878,0.017140569042874216,-0.966447106714023,0.22643255239243407,-1.0675839709949309,-0.28562662418844875,-0.035231963422823795,0.7020183801131127
bl2,-28.52735542368669,-7.721349026079064,-0.0795116217042859,5.131590202585691,23.015311415504467,8.190536941383245,5.5415525258262335,1.225359929713076
bl3,-1.9496961917294606,0.20298744391779672,-0.9341021127508653,0.3262457391754438,0.4249337604041057,-2.016999811897789,0.007005076225013621,0.4717506490026633
bl4,-48.634411873404915,11.742111789347708,0.165489605248017,8.15909288668068,-16.04135376879214,7.733297111630983,-4.21139728421596,1.2916420121567962
bl5,-0.2826172322175635,0.08968312756507553,-0.002547659006484361,0.026632157749892818,-1.7079511195912245,0.7470545747899329,-0.17420339312905975,0.11273577578629991
br1,0.40084367792071696,-0.23267532627490306,-0.0018197634604963805,-0.07914035853071498,-0.7905544139244141,0.12708792599074012,-0.011634212841546955,0.021135028484937073
br2,63.75292226487948,-13.900226455028507,-0.4358104732952422,-11.215280018992623,-17.908225037599202,9.82071240095118,1.6764239080607384,1.37166505107458
br3,-1.9496961917294606,0.20298744391779672,-0.9341021127508653,0.3262457391754438,0.4249337604041057,-2.016999811897789,0.007005076225013621,0.4717506490026633
br4,72.95563562314986,8.397966197402816,-0.4707252077958242,-12.247462362789527,16.53748448036318,8.875127824269677,-2.789151105261102,1.1744249314892425
br5,-1.5353280714632715,0.3978536200990913,0.007472584067199011,0.305885405670977,2.9399606788436414,-1.0323555593035791,0.1947603210008795,-0.15466544886382938
