,Ey,Ez,Ex,U3,U4,U2,U5,U1
tr5,1.0796277581127147,0.05957300521745267,-0.0006305368979927533,0.4093595059441851,0.7568342972229557,0.15805933190893728,-0.05890323008294536,0.02244462172273058
tr4,-1.8271537177768753,4.7871839885683025,-0.07901208686878979,-0.5719984931881421,-17.11583792963063,5.111452619960092,-4.031793647124169,0.7158947898631361
tr3,-2.6545736584201096,0.0007489862404746125,-0.9475623696865204,1.3252261964839038,-0.014956414178799494,-1.3780408821925874,-0.002249159937573203,0.6722351090568023
tr2,-1.6972652789582687,-4.786923236761715,-0.07020075957487865,-0.5351614231900048,17.183507189490744,5.1130316636688296,4.029635548880022,0.7128573755671389
tr1,-1.8967779375072402,-0.20088052955985752,-0.0022762080826613977,-0.7186841981258814,1.4971191884886497,0.12277600783691824,0.08496320700618101,0.0152574571029409
tl5,1.4882838556661142,0.18068613939731515,-0.001716947194507455,0.5639449789565839,1.2710355492927612,0.12069905197421726,-0.0832182794911671,0.01876185756937863
tl4,1.831178205090881,4.859462278713113,-0.06988986558114794,0.5889028431396119,17.162650949914358,5.123582747872326,-4.033918546952074,0.7184018910835447
tl3,2.629812540324442,-0.0012476526083090651,-0.9486111324559423,-1.3284772780704175,-0.005777595904413698,-1.372943123899868,0.0015415149342387097,0.6788386483942472
tl2,1.8334352879393196,-4.851742702432838,-0.07800560387711489,0.5773434980588522,-17.153829308474055,5.115804806712238,4.039845034581181,0.7199639467791871
tl1,-1.4252540873266062,-0.0350442278975198,-0.000925616106799598,-0.5405670822387604,1.0381839410488711,0.15382367373944864,0.05652224409001877,0.01912196536057637
br5,-1.8005060703773594,0.16039864773227497,0.0015578979967925434,-0.6865062793673011,-1.1732981107659095,0.11627239641463508,0.0735843368712871,0.01296478148700364
br4,-27.28286258400387,4.647627221456758,0.0809812616252006,-10.490962135862844,-17.986220638512947,5.222267580134967,3.9125094519411165,0.6534908701341532
br3,0.00974230443004961,-0.00038430389560489657,0.9574425492701544,0.0047327239539508735,0.010393825974921783,-1.4394377921426418,0.00010700750036908441,0.6693353112315399
br2,-27.281051827960994,-4.635349839535844,0.09005675060270293,-10.48821870747588,17.89100373880785,5.218007080590592,-3.951322662277054,0.6504896623352383
br1,-2.0434284972468397,0.007415126220350747,-0.001132952823374934,-0.7784513767960176,1.3674983323925631,-0.1311225445516315,0.05329621737633057,-0.019272547487021084
bl5,-1.6529003765536803,0.04031177914272051,0.0008290290833640615,-0.6297764233319343,-1.0203034169290799,0.15525548471880019,0.05541375503148556,0.0181005834095286
bl4,27.253646697137782,4.711790832681035,0.09870828836243477,10.47826195762237,17.94683940452133,5.275292538133349,3.948819240874519,0.7179988902689466
bl3,0.00974230443004961,-0.00038430389560489657,0.9574425492701544,0.0047327239539508735,0.010393825974921783,-1.4394377921426418,0.00010700750036908441,0.6693353112315399
bl2,27.117228856889785,-4.717303749478164,0.09024009110762983,10.42844540132205,-17.92962580537615,5.273495556310728,-3.9123128873338486,0.7212334081552052
bl1,1.6726730924682527,-0.17490582591039538,0.002208745349202233,0.6377916163817017,-1.3082029881484682,0.14359801187338211,-0.07412180644139672,0.020315552455272386
